id,text
624495129303351296,#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week 
624495128510656513,@Lamb2ja Hey James! How odd Please call our Contact Centre on 02392441234 and we will be able to assist you Many thanks!
624495126535106560,@DespiteOfficial we had a listen last night As You Bleed is an amazing track. When are you in Scotland?!
624495126170238976,@97sides CONGRATS 
624495124148391936,yeaaaah yippppy!!! my accnt verified rqst has succeed got a blue tick mark on my fb profile in 15 days
624495123343118337,@BhaktisBanter @PallaviRuhail This one is irresistible #FlipkartFashionFriday htt//t.co/EbZ0L2VENM
624495122982408192,We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF https/t.co/smyYriipxI
624495122974019584,"@Impatientraider On second thought, there’s just not enough time for a DD But new shorts entering system. Sheep must be buying."
624495122814599168,"Jgh , but we have to go to Bayan bye"
624495122789498880,"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies ."
624495121850089472,#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week 
624495120662949888,Who Wouldn't Love These Big....Juicy....Selfies - htt//t.co/QVzjgd1uFo htt//t.co/oWBL11eQRY
624495119589203968,@Mish23615351 follow @jnlazts &am htt//t.co/RCvcYYO0Iq follow u back 
624495117919981568,"@jjulieredburn Perfect, so you already know what's waiting for you "
624495117009682432,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in htt//t.co/of3DyOzML0
624495116170981376,Laying out a greetings card range for print today - love my job 
624495116112297984,Friend's lunch... yummmm #Nostalgia #TBS #KU.
624495115298435072,@RookieSenpai @arcadester it is the id conflict thanks for the help here's the screenshot of it working
624495113465540608,@oohdawg_ Hi liv )
624495112656158720,Hello I need to know something can u fm me on Twitter?? — sure thing dm me x htt//t.co/W6Dy130BV7
624495112089923584,#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week 
624495110751952896,"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all "
624495110546456577,@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x )
624495110500282368,Hello Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301
624495109749366784,💅🏽💋 - ))) haven't seen you in years
624495108700946432,@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! 
624495108583489536,@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream 
624495107019026432,"Spiritual Ritual Festival (Népal)
Beginning of Line-up It is left for the line-up (y)
See more at:... htt//t.co/QMNz62OEuc"
624495106947727360,@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap 
624495106863800320,@izzkamilhalda lols. 
624495106347958273,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot htt//t.co/TnHJD36yzf
624495105714421760,@KalinWhite come to my house ))))
624495104615706624,"#nsn_supplements, Effective press release distribution with results! [link removed] #PressRelease #NewsDistribution"
624495104376598528,Hi BAM ! @BarsAndMelody Can you follow my bestfriend @969Horan696 ? She loves you a lot See you in Warsaw &lt;3 Love you &lt;3 x46
624495103269167104,everyone watch the documentary Earthlings on YouTube 
624495102883311616,@jamiefigsxx follow @jnlazts &am htt//t.co/RCvcYYO0Iq follow u back 
624495102480764928,#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week 
624495102480683008,buuuuuuuut oh well 
624495101532876800,@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo 
624495101092323328,@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh 
624495100857597952,"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes "
624495100744343552,@_Kimimi A great enough reason to listen to one epic soundtrack. 
624495100115189760,@AquaDesignGroup Thank you for the shout out. Have a great Friday 
624495100048097280,I added a video to a @YouTube playlist htt//t.co/yzpfsMxUq0 im back on twitch and today it going to be league - 1 / 4
624495099951476737,Would love to see you dear in #Jordan waiting you! @FIRDOZ @VisitJordan @dannyprol
624495099834036224,"@ABNORMAL_ANA92 oh, okay thanks!"
624495098097745920,"@sssniperwolf like how to fake gameplays haha Im kidding, im kidding. You do good stuff ."
624495095384002560,"@dennislami @Dicle_Aygur, yeah exactly "
624495094968795136,Our new product line is in our #etsy shop now! Check it out htt//t.co/h8exCTLQxg #boxroomcrafts
624495094796648449,@PeakYourMind I hope your vacation is going great! 
624495093643227136,@groovinshawn they are rechargeable and it normally comes with a charger when u buy it 
624495093123317760,#FollowFriday @France_Espana @reglisse_menthe @CCI_inter for being top engaged members in my community this week 
624495093085544448,Well she's asleep and I have no one to talk to sooo someone text me 
624495093035180032,"@brynybrath @smallcappy Yes, I suppose. I bet he'll have a blue fit after hearing her speech today. Pity "
624495092619956224,"Green gardens, midnight sun, beautiful canals dasvidaniya till next visit."
624495092393312256,@KeithRParsons are you scouting SG for a future WLAN pros conference here in Asia? 
624495092343177217,"@Cecilie_Hell @420evilangel @wazimotometal @durooooooo @spigranty Good for u, better change it to lollipop 🍭 ."
624495091772719104,We &lt;3 u Nez #AGNEZMO https/t.co/cGViMHSINz
624495091445538816,@LittleMix Follow me Please This is my Big Dream 
624495091407831040,@Elemaaan oley be 
624495089470058496,"""@CowokAddict: Mama is the only reason why I stand stronger up to now! """
624495089407037440,@MacatangayApril follow @jnlazts &am htt//t.co/RCvcYYO0Iq follow u back 
624495088467443713,"@tk_kjk_kndr @boukendreamer OH MY GOD MISTY, MY BABY IS SO CUTE!!! "
624495088350003201,@BhaktisBanter I love blue #FlipkartFashionFriday htt//t.co/HnbinH35ES
624495088006209536,"@CarcassDrop Woohoo! Can't wait Have you signed up yet, or still thinking about it? MKa"
624495087909797889,i have liam access now )
624495087280459777,@SyuhxdxTengku most welcome 
624495086936657921,Stats for the day have arrived. 1 new follower and NO unfollowers via htt//t.co/p6K6SiH58a.
624495086244659200,@sluttywife2 you shouldn't be surprised...you have an amazing figure 
624495085909114880,#FollowFriday @murtishaw @aqui_fr @FRTechStartups for being top influencers in my community this week 
624495083694497792,"#HappyBirthdayEmilyBett @emilybett Wishing you all the best you beautiful,sweet,talented,amazing… https/t.co/humtC1tr3I"
624495083690135552,2 plans for the day down the drain great :
624495082180374528,@x123456789tine @5SOS_FAHUpdates gotta love timezones 
624495080695570432,"are your parents proud of you — lol, not in the least maybe sometimes they get happy because of my grades, al... htt//t.co/bJjeGIOOGU"
624495079944794112,Grande https/t.co/gsaaxNpR8u
624495079667970048,Manila_bro has chosen to follow me on Twitter! htt//t.co/lKXZWXN1fb. Thanks for the follow 
624495079252623360,@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care 
624495079059759104,#FollowFriday @michae1green @superninjaalan @Doug_Laney for being top new followers in my community this week 
624495078954934272,finally the fucking weekend 
624495078589870081,REAL 
624495077923155968,@LoLEsportspedia thanks 
624495077734416384,Hi BAM ! @BarsAndMelody Can you follow my bestfriend @969Horan696 ? She loves you a lot See you in Warsaw &lt;3 Love you &lt;3 x45
624495077293846528,YES! I Joined #HushedCallWithFraydoe for a call &am gift from @_Fraydoe &lt;3 Gotta Get @HushedApp htt//t.co/VaLVe8omdT
624495075935023104,@YasLarry yeahhh 
624495075511238656,can I DM you &am make your night better ))
624495075339341824,just joined the #HushedPinWithSammy Event Might get to Text with @SammyWilk for a day! Luv U @HushedApp htt//t.co/kGfgawdHy9
624495074064400384,Would really appreciate it if you share this video around https/t.co/MhK3B3wOpQ
624495073804201984,Hello Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920
624495072999002112,@TomParker oh wow!! That is beautiful tom 
624495072948568064,Love You @darlingIXHAI22 @SyreenAnne ) https/t.co/wx7yRrE7sV
624495072768303104,I added a video to a @YouTube playlist htt//t.co/HVVPhSYakA im back on twitch and today it going to be league - 1 / 3
624495072374071296,#FollowFriday @AmericanOGrain @PecomeP @APaulicand for being top supports in my community this week 
624495070809460740,@ZaynZaynmalik30 follow @jnlazts &am htt//t.co/RCvcYYO0Iq follow u back 
624495070633455616,Gym Monday can't wait . Likes
624495070553722880,"@HarNiLiZaLouis Hey, here's your invite to join Scope as an influencer htt//t.co/rZgZtQ2fJT"
624495070436306944,Those friends know themselves 
624495070360793088,waiting for nudes 
624495070155251713,@JacobWhitesides go sleep u ! ))))))))
624495069861687297,Stats for the day have arrived. 1 new follower and NO unfollowers via htt//t.co/RBMNgMEo.
624495069215748096,My birthday is a week today! 
624495069136060416,@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! 
624495067470929920,@AxeRade haw phela if am not looking like Mom obviously am looking like him 
624495066887786496,@zaynmalik prince charming on stage x https/t.co/OnVFhzt5fZ
624495066464161792,i have really good luck 
624495065545711616,Stats for the day have arrived. 1 new follower and NO unfollowers via htt//t.co/XzsOGaC4zK.
624495065365356544,#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week 
624495064887259136,@twentyonepilots @fujirock_jp tylers hipster glasses 
624495064819994624,@MartyRafenstein Hey Marty !! Glad to see on Twitter. 
624495061741502464,@UKBusinessLunch Hi we will be joining you again today 
624495061712175104,@LAfitnessUKhelp done thanks 
624495060034293761,"Its already afternoon, lets read Al Kahfi before the day finish "
624495059816165376,OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO HAHA
624495059380080640,@rozbabes Here's your invite to become a Scope influencer Details here: htt//t.co/ipJ2yOiGet
624495057563983872,#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week 
624495057094119424,@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks zzz xx
624495056905478145,Physiotherapy Friday is my hashtag for today. Custom! 
624495056490074112,"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me "
624495056230199296,"""Good morning, beautiful "" That's all it takes."
624495054384693248,Hi BAM ! @BarsAndMelody Can you follow my bestfriend @969Horan696 ? She loves you a lot See you in Warsaw &lt;3 Love you &lt;3 x43
624495054372081664,@MandaScapinello oh yeah?? I am definitely going to try it tonight then! we took your advice too! We are in Treviso now!
624495054191603712,@morallosanthony follow @jnlazts &am htt//t.co/RCvcYYO0Iq follow u back 
624495053780615168,@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks 
624495052316897280,"Fine, ...Have a gorgeous Friday, friend!!..; xo..-) https/t.co/JmpkZP2DaI"
624495052040065024,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna https/t.co/EsCc9QhLob"
624495051654213632,@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya! Have a great day everyone 
624495051188482048,@TeamTall17 @FlashHayer but doesn't even follow back 
624495050643361792,The future is almost here then https/t.co/rolE3ZCL97
624495048751718400,#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week 
624495047434612736,No chance 
624495047044657152,@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers 
624495044859310080,@thatguycalledP go po for ice cream )
624495043836026880,@19strawberry66 I agree 100% 
624495043152318464,@SpazzyTsukihara hehehehe thats the point 
624495042871209984,@KalinWhite next time just stay home 
624495042858721280,@Gculloty87 thanks 
624495041764044800,#FollowFriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week 
624495041700978688,"@stayfaboo it will be up soon, i promise "
624495041696923649,Web Whatsapp volta a funcionar com iPhone jailbroken. 
624495041256427520,@crustyolddeen (I plan on watching it later) at 34 mins Leia appears as a hologram from R2D2 w a message for Obi Wan as he sits w Luke 
624495041021652992,"@Mburu__ Inter 3 UCL, Arsenal... Small team, Right! "
624495040350527488,"Just passing by 🚂 (@ Dewsbury Railway Station (DEW) - @nationalrailenq in Dewsbury, West Yorkshire) https/t.co/DvBssHbrfx"
624495040186961920,@ClearlyArticle its 430 am smh
624495039092236288,@uptommosass it's 9:25 am here I live in Scotland it's strange to imagine what?- Megan xx
624495038521700352,"@bookmyshow !
#MasaanToday
#MasaanToday

A4.... Shweta Tripathi !
#MasaanToday
#MasaanToday

-. .-..,"
624495038022561792,@WforWoman 5. Over 20 W kurtas! And my Mom has about half the number I have #WSaleLove
624495037896912896,Ah! Hello back Larry! @TransworldBooks https/t.coXhjJb4jtH
624495036747644928,Anyway my Friday is looking kinda gooood 
624495036516864000,@jhun_hunyo follow @jnlazts &am htt//t.co/RCvcYYO0Iq follow u back 
624495036357423104,Lol. Well. That's life thank God it enn you https/t.co/GLoCEIjGQQ
624495035191554048,@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath xx
624495034256101376,"Dum Dum Andar - Ram Sampath, Sona Mohapatra &am Samantha Edwards Mein Tulane to razi razi, Wah! That's Josh htt//t.co/ul8MARDfhm"
624495032691728384,@justinbieber always smile
624495032423178244,@darlakim_ picture. 
624495031164932096,"@arsenalnewsasit Thanks again, your time 16.20 right? That's perfect timing for me here ."
